Job Title,Company Name,Language and Tools,City,Province,Type of Work,Seniority
Data Management Analyst,Leonardo DRS,Unknown,Bedford,NS,In Person,Not Applicable
Business Intelligence Analyst,Autodesk,"Tableau, Sql, D3.Js, Power Bi, Python, R",Toronto,ON,In Person,Not Applicable
Research Analyst,Insurance Bureau of Canada,"Excel, Excel",Toronto,ON,In Person,Not Applicable
Part-time Data Quality Analyst (Fraud Investigation),owl.co,Unknown,Remote in Toronto,Remote,Hybrid,Not Applicable
IT Cost Business Analyst,Ingersoll Rand,Excel,Barrie,ON,In Person,Not Applicable
"Analyst, Business Intelligence",Bell,"Sql, Confluence, Sas, Jira, Teradata",Toronto,ON,In Person,Not Applicable
Senior Data Engineering Analyst,Loblaw Companies Limited,"Sql, Python, Confluence, Excel, Java, Teradata, Jira",Brampton,ON,In Person,Senior
Principal Services Operations Analyst,Dayforce,"Power Bi, Excel, Database",Remote,Remote,Remote,Not Applicable
Senior Systems Analyst,IG Wealth Management,Sql,Toronto,ON,In Person,Senior
Treasury Data Analyst,GFL Environmental,"Sql, Database, Crystal, Excel",Vaughan,ON,In Person,Not Applicable
business intelligence specialist,Ramp Group,Unknown,Surrey,BC,In Person,Not Applicable
Senior Business Analyst,Evolution Mining,Unknown,Red Lake,ON,In Person,Senior
Associate IT Business Analyst,Manulife,Database,Toronto,ON,In Person,Not Applicable
Decision Support Analyst,ErinoakKids Center for Treatment and Development,"Sql, Excel, Database",Mississauga,ON,In Person,Not Applicable
"Analyst, Digital Advisory Federal Government",MNP,Excel,Ottawa,ON,In Person,Not Applicable
Data-driven Marketing Analyst,Weyburn Credit Union,"Html, Tableau, Sql, Css, Python, Javascript, R, Power BI",Weyburn,SK,In Person,Not Applicable
FPSS Quality Coordination Analyst,City of Winnipeg,"Crystal, Excel, Database",Winnipeg,MB,In Person,Not Applicable
"analyst, business - computer systems",TechVest Global Solutions Inc.,Unknown,Toronto,ON,In Person,Not Applicable
"Business Systems Analyst 10 yrs (SQL, big data, Credit Risk, Banking Loan Book, Python)",Compest Solutions Inc,"Sql, Big Data, Hadoop, Python, Jupyter",Toronto,ON,In Person,Not Applicable
ADMN O 24R - Policy Analyst,BC Public Service,Eagle,Abbotsford,BC,In Person,Not Applicable
"Analyst, Business Performance, Bilingual or English",Nordia,Unknown,Laval,QC,In Person,Not Applicable
business intelligence specialist,RAMP Technology Group Inc.,"Github, Aws, Sql",Surrey,BC,In Person,Not Applicable
"Analyst, Business Performance, Bilingual or English",Nordia,Unknown,Laval,QC,In Person,Not Applicable
Continuous Improvement/Business Analyst,FleetOptics Inc,"Power Bi, Excel",Mississauga,ON,In Person,Not Applicable
Research Analyst,University of Toronto,"Sas, Big Data, R",Toronto,ON,In Person,Not Applicable
"Analyst, Transaction Management",Groupe Optimum Inc.,Excel,Montreal,QC,In Person,Not Applicable
Business Systems Analyst (Computer Services Officer 3),Province of Nova Scotia,Power Platform,Halifax,NS,In Person,Not Applicable
"Business Systems Analyst, Capital Markets Technology, Derivative Products",Scotiabank,"Sql, Gap, Excel",Toronto,ON,In Person,Not Applicable
Business Analyst Manager,Midland Transport,Excel,Dieppe,NB,In Person,Not Applicable
Senior Business Intelligence Specialist,Tolko Industries Ltd.,"Fabric, Ssis, Sql, Databricks, Azure, Ssrs",Vernon,BC,In Person,Senior
"Analyst Sr, Strategy & Business Dev.",Bombardier,Unknown,Dorval,QC,In Person,Not Applicable
Teknaform Senior Business Analyst,Teknaform Inc.,Excel,Bolton,ON,In Person,Senior
Senior Business Analyst,Ivey Business School Foundation,Sql,London,ON,In Person,Senior
Contact Center Business Analyst,Global Excel Management,"Genesys, Excel",Sherbrooke,QC,In Person,Not Applicable
Investment Reporting Analyst,OMERS,"Power Bi, Excel, SQL",Toronto,ON,In Person,Not Applicable
"Analyst, Capital Gov & Reporting",EPCOR,"Power Bi, Excel",Edmonton,AB,In Person,Not Applicable
Marketing Analyst,OLIVER Agency - North America,"Tableau, Power Bi, Sql, Excel, Vba, Python, R",Toronto,ON,In Person,Not Applicable
"analyst, marketing",Wipro Comnet Inc.,Database,Brampton,ON,In Person,Not Applicable
Project Analyst,ARYZE Developments Inc.,Excel,Victoria,BC,In Person,Not Applicable
business systems analyst,AIR TRAIN FREIGHT SYSTEMS INC,Unknown,Mississauga,ON,In Person,Not Applicable
Pricing & Revenue Management Analyst,Flair Airlines Ltd.,Crystal,Vancouver,BC,In Person,Not Applicable
Business Analyst,TC Energie,"Power Bi, Power Platform",Calgary,AB,In Person,Not Applicable
Marketing Science Analyst,Lululemon,"Python, Sql, Power BI, R",Vancouver,BC,In Person,Not Applicable
business systems analyst,STAR TECH INFOSYSTEMS LTD.,C,Calgary,AB,In Person,Not Applicable
NDT Eddy Current Data Analyst - Project Manager,"Acuren Inspection, Inc.",Unknown,Edmonton,AB,In Person,Not Applicable
Accounting Analyst and Supervisor,Maggas Medical Inc.,Excel,North York,ON,In Person,Not Applicable
Sr. Pricing Analyst,Collins Aerospace,Excel,Oakville,ON,In Person,Not Applicable
Business Systems Analyst,PressReader,"Power Platform, Power Bi, Excel, Database",Richmond,BC,In Person,Not Applicable
"'Senior Manager, Business Intelligence and Reporting, Enterprise Insider Risk Management",TD Bank,"R, C",Toronto,ON,In Person,Senior
"'Senior Manager, Business Intelligence and Reporting, Enterprise Conduct Risk Management",TD Bank,Unknown,Toronto,ON,In Person,Senior
Lead Business Systems Analyst (SAP SuccessFactors),Magic Leap - Multiple Locations,"C#, Database",Remote,Remote,Remote,Not Applicable
Treasury Analyst,City of Richmond BC,Excel,Richmond,BC,In Person,Not Applicable
Total Rewards Analyst,SAIT Polytechnic,Excel,Calgary,AB,In Person,Not Applicable
